"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 18 14:26:03 IST 2022","Tue Jan 18 14:26:06 IST 2022","3375","chromium","tests\ui-tests\parabank\parabank-title.spec.js","","","","ParaBank-TitleParagraph Test @fast",""
"passed","Tue Jan 18 11:47:45 IST 2022","Tue Jan 18 11:47:48 IST 2022","3001","chromium","tests\ui-tests\parabank\parabank-title.spec.js","","","","ParaBank-TitleParagraph Test",""
"passed","Tue Jan 18 14:24:13 IST 2022","Tue Jan 18 14:24:19 IST 2022","6254","chromium","tests\ui-tests\parabank\parabank-registeration.spec.js","","","","ParaBank-RegisterProcess-Test @t1",""
"passed","Tue Jan 18 14:25:56 IST 2022","Tue Jan 18 14:25:58 IST 2022","2084","chromium","tests\ui-tests\bookstore\bookstore.spec.js","","","","BookStore-Title-Test @fast",""
"passed","Tue Jan 18 11:47:47 IST 2022","Tue Jan 18 11:47:49 IST 2022","1789","webkit","tests\ui-tests\bookstore\bookstore.spec.js","","","","BookStore-Title-Test",""
"passed","Tue Jan 18 14:25:58 IST 2022","Tue Jan 18 14:26:03 IST 2022","4710","chromium","tests\ui-tests\parabank\parabank-register.spec.js","","","","ParaBank-RegisterBtn-Test @fast",""
"passed","Tue Jan 18 14:26:13 IST 2022","Tue Jan 18 14:26:20 IST 2022","7004","webkit","tests\ui-tests\parabank\parabank-registeration.spec.js","","","","ParaBank-RegisterProcess-Test @slow",""
"passed","Tue Jan 18 14:26:03 IST 2022","Tue Jan 18 14:26:08 IST 2022","5111","chromium","tests\ui-tests\parabank\parabank-registeration.spec.js","","","","ParaBank-RegisterProcess-Test @slow",""
"passed","Tue Jan 18 14:25:57 IST 2022","Tue Jan 18 14:26:01 IST 2022","4189","chromium","tests\ui-tests\demoblaze\login.spec.js","","","","DemoBlaze-Login-ValidInfo-Test @slow",""
"passed","Tue Jan 18 14:26:14 IST 2022","Tue Jan 18 14:26:17 IST 2022","3549","webkit","tests\ui-tests\demoblaze\login.spec.js","","","","DemoBlaze-Register-Already Registered-Test @slow",""
"passed","Tue Jan 18 11:47:49 IST 2022","Tue Jan 18 11:47:56 IST 2022","6384","webkit","tests\ui-tests\demoblaze\login.spec.js","","","","DemoBlaze-Login-ValidInfo-Test",""
"passed","Tue Jan 18 11:47:49 IST 2022","Tue Jan 18 11:47:54 IST 2022","4801","webkit","tests\ui-tests\parabank\parabank-register.spec.js","","","","ParaBank-RegisterBtn-Test",""
"passed","Tue Jan 18 14:26:07 IST 2022","Tue Jan 18 14:26:07 IST 2022","83","webkit","tests\api-tests\jsonplaceholderAPI\jsonplacerholder.spec.js","","","","JsonPlaceHolderAPI-GET-Request-Test @fast",""
"passed","Tue Jan 18 11:47:40 IST 2022","Tue Jan 18 11:47:44 IST 2022","3957","chromium","tests\ui-tests\demoblaze\login.spec.js","","","","DemoBlaze-Login-ValidInfo-Test",""
"passed","Tue Jan 18 14:26:10 IST 2022","Tue Jan 18 14:26:13 IST 2022","3057","webkit","tests\ui-tests\parabank\parabank-register.spec.js","","","","ParaBank-RegisterBtn-Test @fast",""
"passed","Tue Jan 18 14:24:13 IST 2022","Tue Jan 18 14:24:22 IST 2022","9123","webkit","tests\ui-tests\parabank\parabank-registeration.spec.js","","","","ParaBank-RegisterProcess-Test @t1",""
"passed","Tue Jan 18 11:47:41 IST 2022","Tue Jan 18 11:47:46 IST 2022","4858","chromium","tests\ui-tests\parabank\parabank-register.spec.js","","","","ParaBank-RegisterBtn-Test",""
"passed","Tue Jan 18 14:25:56 IST 2022","Tue Jan 18 14:25:57 IST 2022","694","chromium","tests\api-tests\petstoreAPI\postpet.spec.js","","","","PetShopAPI-PostPet-ValidObject-Test @fast",""
"passed","Tue Jan 18 14:26:07 IST 2022","Tue Jan 18 14:26:08 IST 2022","631","webkit","tests\api-tests\petstoreAPI\postpet.spec.js","","","","PetShopAPI-PostPet-ValidObject-Test @fast",""
"passed","Tue Jan 18 11:47:54 IST 2022","Tue Jan 18 11:47:56 IST 2022","2461","webkit","tests\ui-tests\parabank\parabank-title.spec.js","","","","ParaBank-TitleParagraph Test",""
"passed","Tue Jan 18 11:47:56 IST 2022","Tue Jan 18 11:47:59 IST 2022","3160","webkit","tests\ui-tests\demoblaze\login.spec.js","","","","DemoBlaze-Register-Already Registered-Test",""
"passed","Tue Jan 18 11:47:46 IST 2022","Tue Jan 18 11:47:47 IST 2022","654","webkit","tests\api-tests\petstoreAPI\postpet.spec.js","","","","PetShopAPI-PostPet-ValidObject-Test",""
"passed","Tue Jan 18 13:15:05 IST 2022","Tue Jan 18 13:15:10 IST 2022","4690","chromium","tests\ui-tests\parabank\parabank-register.spec.js","","","","ParaBank-RegisterBtn-Test @slow",""
"passed","Tue Jan 18 13:15:12 IST 2022","Tue Jan 18 13:15:16 IST 2022","4596","webkit","tests\ui-tests\parabank\parabank-register.spec.js","","","","ParaBank-RegisterBtn-Test @slow",""
"passed","Tue Jan 18 14:26:09 IST 2022","Tue Jan 18 14:26:10 IST 2022","1844","webkit","tests\ui-tests\bookstore\bookstore.spec.js","","","","BookStore-Title-Test @fast",""
"passed","Tue Jan 18 11:47:39 IST 2022","Tue Jan 18 11:47:39 IST 2022","91","chromium","tests\api-tests\jsonplaceholderAPI\jsonplacerholder.spec.js","","","","JsonPlaceHolderAPI-GET-Request-Test",""
"passed","Tue Jan 18 14:26:08 IST 2022","Tue Jan 18 14:26:14 IST 2022","6145","webkit","tests\ui-tests\demoblaze\login.spec.js","","","","DemoBlaze-Login-ValidInfo-Test @slow",""
"passed","Tue Jan 18 11:47:39 IST 2022","Tue Jan 18 11:47:41 IST 2022","1511","chromium","tests\ui-tests\bookstore\bookstore.spec.js","","","","BookStore-Title-Test",""
"passed","Tue Jan 18 14:25:56 IST 2022","Tue Jan 18 14:25:56 IST 2022","91","chromium","tests\api-tests\jsonplaceholderAPI\jsonplacerholder.spec.js","","","","JsonPlaceHolderAPI-GET-Request-Test @fast",""
"passed","Tue Jan 18 11:47:39 IST 2022","Tue Jan 18 11:47:40 IST 2022","714","chromium","tests\api-tests\petstoreAPI\postpet.spec.js","","","","PetShopAPI-PostPet-ValidObject-Test",""
"passed","Tue Jan 18 11:47:46 IST 2022","Tue Jan 18 11:47:46 IST 2022","84","webkit","tests\api-tests\jsonplaceholderAPI\jsonplacerholder.spec.js","","","","JsonPlaceHolderAPI-GET-Request-Test",""
